,ss,sod,sdd,dd,condition_no
0,5,15,32,0,91970362.2259943
1,5,15,32,1,43923060.4308193
2,5,15,32,2,45972391.311491
3,5,15,32,3,7535489.91058877
4,5,15,32,4,8074765.39595151
5,5,15,32,5,23457495.1374155
6,5,15,33,0,91970362.2259943
7,5,15,33,1,34396246.8050778
8,5,15,33,2,62536655.6096581
9,5,15,33,3,17071269.2118436
10,5,15,33,4,6010818.03403703
11,5,15,33,5,15363616.1908542
12,5,15,34,0,91970362.2259943
13,5,15,34,1,34397988.65245
14,5,15,34,2,70702399.8868579
15,5,15,34,3,20493699.0657625
16,5,15,34,4,6941743.41116174
17,5,15,34,5,28635789.1014068
18,5,15,35,0,91970362.2259943
19,5,15,35,1,25429274.4647813
20,5,15,35,2,97380345.4947359
21,5,15,35,3,29579617.2486926
22,5,15,35,4,7929830.40097877
23,5,15,35,5,36654655.4167452
24,5,15,36,0,91970362.2259943
25,5,15,36,1,26894413.3194842
26,5,15,36,2,139690596.036186
27,5,15,36,3,33253964.28118
28,5,15,36,4,15401464.7964589
29,5,15,36,5,7378192.45204749
30,5,15,37,0,91970362.2259943
31,5,15,37,1,27497807.7198821
32,5,15,37,2,152573643.143407
33,5,15,37,3,20089711.1900388
34,5,15,37,4,14407955.5708536
35,5,15,37,5,8228544.38035357
36,5,15,38,0,91970362.2259943
37,5,15,38,1,26589165.8998596
38,5,15,38,2,160080950.316324
39,5,15,38,3,18279631.8752756
40,5,15,38,4,7483111.88156923
41,5,15,38,5,7470371.22751363
42,5,15,39,0,91970362.2259943
43,5,15,39,1,15493803.0739773
44,5,15,39,2,171044337.478892
45,5,15,39,3,19629607.6301244
46,5,15,39,4,7588587.00614352
47,5,15,39,5,6873176.08201895
48,5,15,40,0,91970362.2259943
49,5,15,40,1,14486566.4972483
50,5,15,40,2,183086047.793317
51,5,15,40,3,20144342.2726624
52,5,15,40,4,7067017.05637536
53,5,15,40,5,8074765.39595151
54,5,15,41,0,91970362.2259943
55,5,15,41,1,18051584.6951894
